19,20,20,20,20,20,20,20,0
20,21,21,21,20,20,20,20,0
31,32,32,31,31,31,31,31,1
12,13,13,13,15,16,16,17,0
14,17,18,17,19,21,22,22,0
28,29,29,29,29,29,29,28,1
10,11,12,12,14,16,15,15,0
26,27,28,28,27,27,26,26,1
10,11,11,11,14,15,15,15,0
10,11,11,10,13,14,14,18,0
9,10,11,11,13,14,14,14,0
26,21,21,20,20,19,18,14,0
26,28,28,24,21,29,28,27,1
28,29,29,29,28,28,28,27,1
28,28,29,29,28,28,28,27,1
29,30,22,22,22,21,21,22,1
12,12,12,12,12,18,19,15,0
26,28,28,28,28,28,27,26,1
27,28,28,28,28,28,27,27,1
28,29,28,26,29,29,28,27,1
21,21,21,21,21,20,21,17,0
28,29,29,29,29,30,30,29,1
25,26,26,23,19,15,14,14,0
10,12,12,12,12,13,15,18,0
11,18,21,25,26,26,26,24,0
24,26,27,26,26,22,15,13,0
25,26,27,26,26,26,25,24,0
10,12,12,11,14,23,27,24,0
25,26,27,27,27,26,26,26,0
8,10,10,10,11,12,10,11,0
10,11,11,11,11,18,17,17,0
28,28,28,28,29,29,29,27,1
28,29,29,29,29,30,29,28,1
28,28,29,29,29,30,29,28,1
28,29,29,30,29,30,29,28,1
14,15,14,14,13,14,15,17,0
15,15,15,15,14,15,17,19,0
30,29,22,15,15,14,15,17,1
30,30,30,29,29,29,28,18,1
28,28,29,29,30,28,18,16,1
28,28,28,28,28,28,28,28,1
14,15,15,14,14,13,12,13,0
30,30,30,30,30,30,30,30,1
13,14,14,13,13,14,20,20,0
28,28,29,29,28,28,28,28,1
12,13,13,12,12,11,12,13,0
28,28,28,28,28,28,28,28,1
28,28,28,28,28,28,28,28,1
29,29,29,29,29,28,27,26,1
31,32,32,31,31,31,31,30,1
16,16,16,15,14,14,15,18,0
31,32,32,31,31,32,31,31,1
32,32,32,32,32,32,32,32,1
17,17,16,16,15,15,15,18,0
30,30,31,31,31,32,31,30,1
13,13,13,13,12,11,12,13,0
31,31,30,29,28,29,29,30,1
32,32,31,31,31,31,31,31,1
13,14,13,13,12,11,13,15,0
12,13,13,12,11,11,13,14,0
13,13,13,12,11,12,14,15,0
13,13,13,12,11,13,14,16,0
30,32,31,31,31,30,30,30,1
13,13,13,12,12,13,15,16,0
28,24,22,19,13,14,15,17,0
31,31,29,20,14,15,16,18,1
32,32,31,23,15,15,16,18,1
16,16,16,16,15,15,16,17,0
13,14,16,19,22,27,30,31,1
10,12,14,14,17,21,25,26,0
8,10,12,12,12,15,19,22,0
8,12,17,14,16,18,22,23,0
27,28,28,28,28,28,28,26,1
27,28,29,29,28,28,28,27,1
11,13,13,13,12,12,11,10,0
29,29,29,29,28,17,14,12,1
30,31,31,31,31,31,30,30,1
30,31,31,31,31,31,30,30,1
21,23,18,21,21,21,20,19,0
27,28,28,28,28,28,28,27,1
11,17,20,11,11,10,9,10,0
29,30,31,31,31,31,30,29,1
29,30,31,31,31,31,31,30,1
13,12,12,12,11,10,11,12,0
12,13,12,11,12,14,15,16,0
33,33,33,32,32,32,32,32,1
33,32,31,31,31,31,32,32,1
15,15,14,14,13,13,14,16,0
19,20,20,21,21,21,22,22,0
21,21,21,21,21,21,21,22,0
