19,20,20,20,20,20,20,20
20,21,21,21,20,20,20,20
31,32,32,31,31,31,31,31
12,13,13,13,15,16,16,17
14,17,18,17,19,21,22,22
28,29,29,29,29,29,29,28
10,11,12,12,14,16,15,15
26,27,28,28,27,27,26,26
10,11,11,11,14,15,15,15
10,11,11,10,13,14,14,18
9,10,11,11,13,14,14,14
26,21,21,20,20,19,18,14
26,28,28,24,21,29,28,27
28,29,29,29,28,28,28,27
28,28,29,29,28,28,28,27
29,30,22,22,22,21,21,22
12,12,12,12,12,18,19,15
26,28,28,28,28,28,27,26
27,28,28,28,28,28,27,27
28,29,28,26,29,29,28,27
21,21,21,21,21,20,21,17
28,29,29,29,29,30,30,29
25,26,26,23,19,15,14,14
10,12,12,12,12,13,15,18
11,18,21,25,26,26,26,24
24,26,27,26,26,22,15,13
25,26,27,26,26,26,25,24
10,12,12,11,14,23,27,24
25,26,27,27,27,26,26,26
8,10,10,10,11,12,10,11
10,11,11,11,11,18,17,17
28,28,28,28,29,29,29,27
28,29,29,29,29,30,29,28
28,28,29,29,29,30,29,28
28,29,29,30,29,30,29,28
14,15,14,14,13,14,15,17
15,15,15,15,14,15,17,19
30,29,22,15,15,14,15,17
30,30,30,29,29,29,28,18
28,28,29,29,30,28,18,16
28,28,28,28,28,28,28,28
14,15,15,14,14,13,12,13
30,30,30,30,30,30,30,30
13,14,14,13,13,14,20,20
28,28,29,29,28,28,28,28
12,13,13,12,12,11,12,13
28,28,28,28,28,28,28,28
28,28,28,28,28,28,28,28
29,29,29,29,29,28,27,26
31,32,32,31,31,31,31,30
16,16,16,15,14,14,15,18
31,32,32,31,31,32,31,31
32,32,32,32,32,32,32,32
17,17,16,16,15,15,15,18
30,30,31,31,31,32,31,30
13,13,13,13,12,11,12,13
31,31,30,29,28,29,29,30
32,32,31,31,31,31,31,31
13,14,13,13,12,11,13,15
12,13,13,12,11,11,13,14
13,13,13,12,11,12,14,15
13,13,13,12,11,13,14,16
30,32,31,31,31,30,30,30
13,13,13,12,12,13,15,16
28,24,22,19,13,14,15,17
31,31,29,20,14,15,16,18
32,32,31,23,15,15,16,18
16,16,16,16,15,15,16,17
13,14,16,19,22,27,30,31
10,12,14,14,17,21,25,26
8,10,12,12,12,15,19,22
8,12,17,14,16,18,22,23
27,28,28,28,28,28,28,26
27,28,29,29,28,28,28,27
11,13,13,13,12,12,11,10
29,29,29,29,28,17,14,12
30,31,31,31,31,31,30,30
30,31,31,31,31,31,30,30
21,23,18,21,21,21,20,19
27,28,28,28,28,28,28,27
11,17,20,11,11,10,9,10
29,30,31,31,31,31,30,29
29,30,31,31,31,31,31,30
13,12,12,12,11,10,11,12
12,13,12,11,12,14,15,16
33,33,33,32,32,32,32,32
33,32,31,31,31,31,32,32
15,15,14,14,13,13,14,16
19,20,20,21,21,21,22,22
21,21,21,21,21,21,21,22
